Intitulé du poste,Date de publication,lieu,competences,Type de poste
['Alternance - Datascientist junior - H/F\n'],"
postée il y a 28 jours
",['\nNanterre\n'],"['\nréseau\n', '\nmachine learning\n', '\noutils\n', '\nsas\n', '\nbig data\n']","['\n', '\n', 'EDF France', '\n', 'Client final', '\n', '\n', '\nContrat de professionnalisation\n']"
['\nIngénieur Etudes et Développement BI (stagiaire) F/H\n'],"
postée il y a 21 jours
",['\nSaint-Germain-en-Laye\n'],"['\njava\n', '\noutils\n', '\ndecisionnel\n', '\nt-sql\n', '\nsql\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nStage\n']"
['Analyste fonctionnel SAP SD F/H\n'],"
postée il y a 13 jours
",['\nÎle-de-France\n'],"['\nsap\n', '\ncommunication\n', '\noutils\n', '\nbusiness intelligence\n', '\nsystème\n']","['\n', '\n', 'Vinci', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Assistant(e) comptable-(H/F)\n'],"
postée il y a 6 jours
",['\nFontenay-sous-Bois\n'],[],"['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Spécialiste Modélisation Dynamique de la performance Atelier Montage H/F\n'],"
postée il y a 10 jours
",['\nVélizy-Villacoublay\n'],"['\noutils\n', '\nsystème\n']","['\n', '\n', 'Groupe PSA', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Référent(e) Conformité Regulatory Expertise Oversight / Responsable Data Protection et Digital-(H/F)\n'],"
postée il y a 17 jours
",['\nLa Defense\n'],"['\ndigital\n', '\ncommunication\n', '\nsupport\n', '\nréseau\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
"[""Ingénieur d'affaires IT Grands Comptes Paris H/F\n""]","
postée il y a 28 jours
",['\nParis\n'],"['\niaas\n', '\npaas\n', '\nsaas\n', '\nsystème\n', '\nprogiciel\n']","['\n', '\n', 'Cegid', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
"[""Stage Tableau de bord 'data centric' pour le pilotage activités de vérification H/F\n""]","
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\ntest\n', '\nsupport\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nStage\n']"
['Ingénieur Cyber-sécurité produit H/F\n'],"
postée il y a 8 jours
",['\nÎle-de-France\n'],"['\nsécurité\n', '\nsecurité\n', '\nc++\n', '\nréseaux\n', '\nvalidation\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['ALTERNANT - Concepteur logiciel H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\njava\n', '\nsystème\n', '\nserveur\n', '\noutils\n', '\numl\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Chef de projet recette H/F\n'],"
postée il y a 20 jours
",['\nIle-de-France\n'],"['\nrecette\n', '\noutils\n', '\ne-commerce\n', '\nsupport\n']","['\n', '\n', 'PRINTEMPS', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Chef de Projets Recette H/F\n'],"
postée il y a 20 jours
",['\nParis\n'],"['\nrecette\n', '\ne-commerce\n', '\noutils\n', '\nmarketing\n', '\nsupport\n']","['\n', '\n', 'PRINTEMPS', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['ALTERNANCE - Concepteur logiciel H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\njava\n', '\nsystème\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Equity Pricing Library Project Manager (H/F)\n'],"
postée il y a 3 heures
",['\nIle-de-France\n'],"['\nsupport\n', '\noutils\n', '\nprogiciel\n', '\nsi\n', '\nsécurité\n']","['\n', '\n', 'Natixis', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Ingénieur Avant-Vente F/H\n'],"
postée il y a 13 jours
",['\nNanterre\n'],"['\ncommunication\n', '\nagile\n', '\nsi\n', '\nréseau\n', '\nsecurité\n']","['\n', '\n', 'Vinci', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Technicien Informatique – Centre de Support F/H\n'],"
postée il y a 13 jours
",['\nSaint-Denis\n'],"['\nsupport\n', '\nsap\n', '\nwindows\n', '\ncommunication\n', '\nitil\n']","['\n', '\n', 'Vinci', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Alternance - Assistant Knowledge User Experience-(H/F)\n'],"
postée il y a 10 jours
",['\nLa Defense\n'],"['\noutils\n', '\ndesign\n', '\nsi\n', '\nmarketing\n', '\nillustrator\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Concepteur logiciel H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\nc++\n', '\nc\n', '\njava\n', '\nsystème\n', '\nsupport\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Alternance - Chargé de Sécurité et Risque Opérationnel Infrastructure IT Reseau-(H/F)\n'],"
postée il y a 2 jours
",['\nFontenay-sous-Bois\n'],"['\nsécurité\n', '\nsecurité\n', '\nréseaux\n', '\ninfrastructure\n', '\nfirewall\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Référent Applicatif - Expert ICM (H/F)\n'],"
postée il y a 22 jours
",['\nIle-de-France\n'],"['\nsupport\n', '\nrecette\n', '\nsql\n', '\nmaintenance\n', '\noutils\n']","['\n', '\n', 'Natixis', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['DEVELOPPEUR AGILE-(H/F)\n'],"
postée il y a 16 jours
",['\nCourbevoie\n'],"['\nagile\n', '\nsql\n', '\nsupport\n', '\npython\n', '\nbootstrap\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['TECHNICAL LEADER H/F-(H/F)\n'],"
postée il y a 22 jours
",['\nFontenay-sous-Bois\n'],"['\nagile\n', '\nsql\n', '\nsupport\n', '\npython\n', '\nbootstrap\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['AUDITEUR INTERNE - FILIERE RISQUES-(H/F)\n'],"
postée il y a 21 jours
",['\nLa Defense\n'],"['\nsécurité\n', '\nsecurité\n', '\ncommunication\n', '\nméthodologie\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Internship: Root Cause Analysis in complex distributed systems (H/F)\n'],"
postée hier
",['\nNozay\n'],"['\ncloud\n', '\nréseaux\n', '\nsystème\n', '\ninfrastructure\n', '\nc++\n']","['\n', '\n', 'Nokia', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['DEVELOPPEUR AGILE-(H/F)\n'],"
postée il y a 13 jours
",['\nLa Defense\n'],"['\nagile\n', '\nsql\n', '\nsupport\n', '\npython\n', '\nbootstrap\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['DEVELOPPEUR AGILE-(H/F)\n'],"
postée il y a 22 jours
",['\nLa Defense\n'],"['\nagile\n', '\nsql\n', '\nsupport\n', '\npython\n', '\nbootstrap\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Systèmes Windows H/F\n'],"
postée il y a 1 mois
","['\nNanterre\n', '\n45.000,00 € - 55.000,00 € / an\n']","['\nsystème\n', '\nwindows\n', '\nmicrosoft\n', '\ncloud\n', '\nmaintenance\n']","['\n', '\n', 'EXPERTEAM', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Lead Developer – Expert Java Full Stack (H/F)\n'],"
postée il y a 22 jours
",['\nIle-de-France\n'],"['\njava\n', '\nsoa\n', '\njson\n', '\nsi\n', '\ngit\n']","['\n', '\n', 'Natixis', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['ALTERNANCE - Concepteur logiciel H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\nsystème\n', '\numl\n', '\noutils\n', '\njava\n', '\nxml\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Concepteur Développeur (H/F)\n'],"
postée il y a 22 jours
",['\nIle-de-France\n'],"['\noutils\n', '\n.net\n', '\nvba\n', '\nc#\n', '\nwindows\n']","['\n', '\n', 'Natixis', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Architecte Technique-(H/F)\n'],"
postée il y a 22 jours
",['\nFontenay-sous-Bois\n'],"['\nsi\n', '\nsecurité\n', '\nsécurité\n', '\nbig data\n', '\ncloud\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
"[""Alternance - Chargé d'Etudes et Développement Informatique Java - Bigdata-(H/F)\n""]","
postée il y a 21 jours
",['\nFontenay-sous-Bois\n'],"['\nsi\n', '\njava\n', '\nsupport\n', '\nbig data\n', '\nagile\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nConsultant MSBI (H/F)\n'],"
postée il y a 23 jours
",['\nNanterre\n'],"['\nsap\n', '\nsi\n', '\nmoa\n', '\ninformatica\n', '\nmaintenance\n']","['\n', '\n', 'Aladium', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDD/Intérim - temps plein\n']"
['Architecte Cybersécurité H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\nsecurité\n', '\nsécurité\n', '\nsystème\n', '\nréseaux\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Stage - Développeur / Software Craftsmanship-(H/F)\n'],"
postée il y a 22 jours
",['\nLa Defense\n'],"['\noutils\n', '\nweb\n', '\nsi\n', '\nsql\n', '\nsql server\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['ALTERNANCE - Concepteur logiciel H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\nc++\n', '\njava\n', '\nsystème\n', '\nc\n', '\ntest\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Architecte logiciel H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\nsystème\n', '\nsupport\n', '\nvalidation\n', '\nsecurité\n', '\noutils\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Expert Infrastructures-(H/F)\n'],"
postée il y a 3 jours
",['\nFontenay-sous-Bois\n'],"['\nsécurité\n', '\nsi\n', '\nsupport\n', '\nsecurité\n', '\nréseaux\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Expert Infrastructures Scheduling-(H/F)\n'],"
postée il y a 17 jours
",['\nLa Defense\n'],"['\npython\n', '\nsupport\n', '\nshell\n', '\nsécurité\n', '\nlinux\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Référent Applicatif Business Intelligence Bi4 H/F\n'],"
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\nsap\n', '\noutils\n', '\nsystème\n', '\nsi\n', '\nbusiness intelligence\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Concepteur logiciel H/F\n'],"
postée il y a 14 jours
",['\nBagneux\n'],"['\nsystème\n', '\noutils\n', '\nsécurité\n', '\nsupport\n', '\nsecurité\n']","['\n', '\n', 'Naval Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Responsable de l’Architecture & Interopérabilité - H/F\n'],"
postée il y a 2 heures
",['\nParis\n'],"['\noutils\n', '\nsi\n', '\nsécurité\n', '\nsupport\n', '\nsecurité\n']","['\n', '\n', 'Ramsay', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Chef de projet Senior Risque de Crédit (H/F)\n'],"
postée il y a 13 jours
",['\nIle-de-France\n'],"['\nréseaux\n', '\nsecurité\n', '\nblockchain\n', '\nsécurité\n', '\nbig data\n']","['\n', '\n', 'Natixis', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['SAP Fiori Developer (H/F)\n'],"
postée il y a 27 jours
",['\nSaint-Ouen\n'],"['\nsap\n', '\nabap\n', '\nprogiciel\n', '\nsystème\n', '\nsupport\n']","['\n', '\n', 'Groupe ENGIE', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['ENGIE Digital - Architecte Données (H/F)\n'],"
postée il y a 3 jours
",['\nParis\n'],"['\ndigital\n', '\noutils\n', '\nsecurité\n', '\nsécurité\n', '\nt-sql\n']","['\n', '\n', 'Groupe ENGIE', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Quality Assurance - Lead QA - Lead Acceptance H/F\n'],"
postée il y a 2 heures
",['\nBoulogne-Billancourt\n'],"['\ntest\n', '\nserveur\n', '\njquery\n', '\nmobile\n', '\ntdd\n']","['\n', '\n', 'Francaise des jeux', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nDATA SCIENTIST\n'],"
postée il y a 16 jours
","['\nNEUILLY SUR SEINE\n', '\n38.000,00 € - 50.000,00 € / an\n']","['\nnosql\n', '\nunix\n', '\njava\n', '\nmachine learning\n', '\nlinux\n']","['\n', '\n', 'BEEZEN', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Datascientist (H/F)\n'],"
postée il y a 3 jours
",['\nSaint-Ouen\n'],"['\nbig data\n', '\nsupport\n', '\npython\n', '\nréseaux\n', '\nsecurité\n']","['\n', '\n', 'Groupe ENGIE', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
